Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
BP16PAAB,01/11/2016,18:00:00,20:00:00,00:19:48.602396,00:00:02.782922,10000,500,00:01:18.690482,00:01:35.259310,1.09,1.32,82.61,00:18:14.388617,00:42:32.810500,15.20,35.46,42.87,16.51,0.04,0.009837,11,232,4.74
BP16PAAB,01/11/2016,20:00:00,22:00:00,00:19:47.390657,00:00:02.201754,10000,500,00:00:58.734808,00:01:15.470168,0.82,1.05,77.83,00:18:36.431115,00:50:37.625350,15.51,42.19,36.75,16.49,0.03,0.012673,10,232,4.31
BP16PAAF,01/11/2016,06:00:00,08:00:00,00:01:22.870025,00:00:00.366546,10000,500,00:00:09.594616,00:00:11.517218,0.13,0.16,83.31,00:01:11.346255,00:03:31.669691,0.99,2.94,33.71,1.15,0.01,0.005877,6,232,2.59
BP16PAAF,01/11/2016,08:00:00,10:00:00,00:12:41.177541,00:00:02.620567,10000,500,00:01:23.587509,00:01:40.942520,1.16,1.40,82.81,00:11:01.174233,00:33:55.627485,9.18,28.27,32.48,10.57,0.04,0.005625,12,232,5.17
BP16PAAF,01/11/2016,10:00:00,12:00:00,00:23:55.888816,00:00:04.621887,10000,500,00:02:22.069573,00:02:51.396607,1.97,2.38,82.89,00:21:05.365766,01:19:14.069160,17.57,66.03,26.62,19.94,0.06,0.006247,18,232,7.76
BP16PAAF,01/11/2016,12:00:00,14:00:00,00:20:21.985668,00:00:03.777761,10000,500,00:01:50.044574,00:02:13.824721,1.53,1.86,82.23,00:18:09.956488,00:55:45.683053,15.14,46.47,32.58,16.97,0.05,0.006743,16,232,6.90
BP16PAAF,01/11/2016,14:00:00,16:00:00,00:22:24.882929,00:00:04.267907,10000,500,00:02:20.450062,00:02:48.286209,1.95,2.34,83.46,00:19:37.221105,00:56:39.339132,16.35,47.21,34.63,18.68,0.06,0.006063,16,232,6.90
BP16PAAF,01/11/2016,16:00:00,18:00:00,00:24:40.183637,00:00:04.018908,10000,500,00:02:14.899499,00:02:45.527160,1.87,2.30,81.50,00:21:59.768309,00:54:14.181614,18.33,45.20,40.56,20.56,0.06,0.007483,15,232,6.47
BP16PAAF,01/11/2016,18:00:00,20:00:00,00:20:10.660250,00:00:02.762092,10000,500,00:01:18.833043,00:01:35.455523,1.09,1.33,82.59,00:18:36.635786,00:41:25.220968,15.51,34.52,44.93,16.81,0.04,0.010094,13,232,5.60
BP16PAAF,01/11/2016,20:00:00,22:00:00,00:19:50.898521,00:00:02.278618,10000,500,00:00:59.462700,00:01:16.707359,0.83,1.07,77.52,00:18:39.119457,00:49:25.323316,15.54,41.19,37.74,16.54,0.03,0.012564,9,232,3.88
