Applid,Date,ResTime,ColTime,ENQPoolName,ENQIssd,ENQWtd,ENQWTT,ENQSysWtd,ENQSysWtT,ENQRtnd,ENQRtnT,ImmRejEqBsy,ImmRejEqRtn,WtRejRtn,WtRejOp,WtRejTo,ENQBusyRatio%,ENQWttRatio%,ENQRetRatio%,ENQImmRetRatio%,ENQImmSuccessRatio%
BP17PAAC,01/11/2016,06:00:00,08:00:00,*TOTALS*,2463,3,00:00:00.017,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.12,0.0,0.0,99.88
BP17PAAC,01/11/2016,08:00:00,10:00:00,*TOTALS*,16883,79,00:00:00.415,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.47,0.0,0.0,99.53
BP17PAAC,01/11/2016,10:00:00,12:00:00,*TOTALS*,29464,266,00:00:01.384,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.9,0.0,0.0,99.1
BP17PAAC,01/11/2016,12:00:00,14:00:00,*TOTALS*,25100,248,00:00:01.452,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.99,0.0,0.0,99.01
BP17PAAC,01/11/2016,14:00:00,16:00:00,*TOTALS*,26902,231,00:00:01.360,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.86,0.0,0.0,99.14
BP17PAAC,01/11/2016,16:00:00,18:00:00,*TOTALS*,27116,170,00:00:01.341,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.63,0.0,0.0,99.37
BP17PAAC,01/11/2016,18:00:00,20:00:00,*TOTALS*,18556,118,00:00:00.647,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.64,0.0,0.0,99.36
BP17PAAC,01/11/2016,20:00:00,22:00:00,*TOTALS*,16333,91,00:00:00.550,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.56,0.0,0.0,99.44
BP17PAAG,01/11/2016,06:00:00,08:00:00,*TOTALS*,2762,1,00:00:00.003,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.04,0.0,0.0,99.96
BP17PAAG,01/11/2016,08:00:00,10:00:00,*TOTALS*,17657,76,00:00:00.393,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.43,0.0,0.0,99.57
BP17PAAG,01/11/2016,10:00:00,12:00:00,*TOTALS*,28504,296,00:00:01.618,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,1.04,0.0,0.0,98.96
BP17PAAG,01/11/2016,12:00:00,14:00:00,*TOTALS*,24367,209,00:00:01.134,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.86,0.0,0.0,99.14
BP17PAAG,01/11/2016,14:00:00,16:00:00,*TOTALS*,27543,234,00:00:01.349,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.85,0.0,0.0,99.15
BP17PAAG,01/11/2016,16:00:00,18:00:00,*TOTALS*,28696,205,00:00:01.113,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.71,0.0,0.0,99.29
BP17PAAG,01/11/2016,18:00:00,20:00:00,*TOTALS*,18692,92,00:00:00.478,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.49,0.0,0.0,99.51
BP17PAAG,01/11/2016,20:00:00,22:00:00,*TOTALS*,16017,74,00:00:00.420,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.46,0.0,0.0,99.54
BP17PAA3,01/11/2016,06:00:00,08:00:00,*TOTALS*,2756,2,00:00:00.009,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.07,0.0,0.0,99.93
BP17PAA3,01/11/2016,08:00:00,10:00:00,*TOTALS*,17741,109,00:00:00.544,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.61,0.0,0.0,99.39
BP17PAA3,01/11/2016,10:00:00,12:00:00,*TOTALS*,28793,261,00:00:01.406,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.91,0.0,0.0,99.09
BP17PAA3,01/11/2016,12:00:00,14:00:00,*TOTALS*,24521,213,00:00:01.201,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.87,0.0,0.0,99.13
BP17PAA3,01/11/2016,14:00:00,16:00:00,*TOTALS*,27039,233,00:00:01.214,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.86,0.0,0.0,99.14
BP17PAA3,01/11/2016,16:00:00,18:00:00,*TOTALS*,28137,194,00:00:01.121,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.69,0.0,0.0,99.31
BP17PAA3,01/11/2016,18:00:00,20:00:00,*TOTALS*,18313,116,00:00:00.678,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.63,0.0,0.0,99.37
BP17PAA3,01/11/2016,20:00:00,22:00:00,*TOTALS*,15680,84,00:00:00.463,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.54,0.0,0.0,99.46
BP17PAA7,01/11/2016,06:00:00,08:00:00,*TOTALS*,2647,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
BP17PAA7,01/11/2016,08:00:00,10:00:00,*TOTALS*,17786,91,00:00:00.518,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.51,0.0,0.0,99.49
BP17PAA7,01/11/2016,10:00:00,12:00:00,*TOTALS*,29323,265,00:00:01.428,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.9,0.0,0.0,99.1
BP17PAA7,01/11/2016,12:00:00,14:00:00,*TOTALS*,23754,210,00:00:01.179,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.88,0.0,0.0,99.12
BP17PAA7,01/11/2016,14:00:00,16:00:00,*TOTALS*,26747,265,00:00:01.370,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.99,0.0,0.0,99.01
BP17PAA7,01/11/2016,16:00:00,18:00:00,*TOTALS*,27165,192,00:00:01.119,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.71,0.0,0.0,99.29
BP17PAA7,01/11/2016,18:00:00,20:00:00,*TOTALS*,18528,92,00:00:00.477,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.5,0.0,0.0,99.5
BP17PAA7,01/11/2016,20:00:00,22:00:00,*TOTALS*,15407,80,00:00:00.450,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.52,0.0,0.0,99.48
